player_name,draft_year,pick_number,college,height_inches,weight_lbs,position,ppg,apg,rpg,spg,bpg,mpg,topg,fpg,fg_pct,three_pt_pct,ft_pct,efg_pct,two_pt_pct,ws,ws_40,ows,dws,ts_pct,tov_pct,ftr,three_pt_attempt_rate,college_seasons,one_and_done,recruit_rank,is_top_100_recruit,is_top_10_recruit,nba_seasons,nba_4yr_total_mp,nba_4yr_bpm,nba_4yr_vorp,nba_4yr_ws,career_ws48,meaningful_career,bpm_tier,minutes_tier,PosVORP
Mike Smith,2000,35,Louisiana-Monroe,80,195,Guard,19.30909091,2.672727273,8.163636364,1.636363636,0.7636363636,35.23636364,4.381818182,2,0.428,0.318,0.769,0.507,0.537,8,0.165,4.8,3.2,0.551,20,0.357,0.496,2,0,101,0,0,1,180,-4.2,-0.1,-0.1,-0.033,0,Bust,Bust,0
Eddie House,2000,37,Arizona State,73,180,Guard,16.48387097,3.266129032,4.048387097,2.080645161,0.1532258065,33.35483871,1.919354839,2.411290323,0.425,0.366,0.798,0.495,0.462,11.7,0.113,6.7,5,0.523,10.9,0.187,0.381,4,0,101,0,0,11,3993,-1.606286001,0.4,2.7,0.077,1,Rotation,Rotation,1
Eduardo Nájera,2000,38,Oklahoma,80,240,Forward,13.1,1.7,7.2,1.5,0.7,30.6,2,2.9,0.43,0.288,0.669,0.46,0.467,15.8,0.164,3.5,12.2,0.495,13.4,0.354,0.207,4,0,101,0,0,12,3611,0.1705621711,1.8,10.2,0.106,1,Starter+,Rotation,1
Lavor Postell,2000,39,St. John's,77,215,Forward,11.0620155,1.589147287,5.550387597,1,0.4496124031,29.27131783,1.751937984,2.317829457,0.43,0.326,0.789,0.47,0.464,11.6,0.123,5.2,6.3,0.526,14.3,0.383,0.246,4,0,101,0,0,3,446,-4.9632287,-0.3,-0.3,-0.025,0,Bust,Bust,0
Hanno Möttölä,2000,40,Utah,83,247,Forward,12.4,1.2,4.6,0.3,0.4,26,2,2.8,0.5,0.33,0.774,0.533,0.542,15.2,0.195,9.4,5.8,0.58,15.6,0.415,0.198,4,0,101,0,0,2,2360,-5.902881356,-2.3,0.9,0.019,1,Bust,Rotation,0
Chris Carrawell,2000,41,Duke,78,210,Forward,10.69852941,2.272058824,4.470588235,0.7720588235,0.8382352941,26.03676471,1.698529412,1.514705882,0.486,0.36,0.667,0.514,0.509,14.9,0.168,6.1,8.8,0.545,14.8,0.415,0.154,4,0,101,0,0,0,0,0,0,0,0,0,Bust,Bust,0
Michael Redd,2000,43,Ohio State,78,220,Guard,19.57291667,2.479166667,6.177083333,1.552083333,0.1145833333,34.625,2.65625,1.916666667,0.448,0.319,0.649,0.488,0.491,11.4,0.137,6,5.4,0.516,12.3,0.35,0.253,3,0,101,0,0,12,6789,2.905936073,8.4,22.2,0.134,1,Starter+,Starter+,1
Brian Cardinal,2000,44,Purdue,80,245,Forward,12,2.098484848,5.674242424,1.962121212,0.3333333333,27.97727273,1.916666667,3.098484848,0.461,0.365,0.761,0.521,0.508,17,0.184,9.4,7.6,0.581,15.6,0.568,0.331,4,0,101,0,0,12,1818,2.46369637,2.1,7.4,0.114,0,Starter+,Rotation,1
Jabari Smith,2000,45,LSU,83,250,Center,12.6,2.1,8.2,0.9,1.1,29.1,3,2.6,0.532,0.298,0.639,0.557,0.579,8.7,0.196,4.8,3.9,0.583,21.8,0.615,0.165,2,0,101,0,0,4,415,-4.422409639,0,0.7,0.058,0,Bust,Bust,0
Mark Karcher,2000,48,Temple,77,215,Forward,14.50746269,2.208955224,5.208955224,1.641791045,0.1343283582,30.80597015,1.910447761,2.402985075,0.373,0.322,0.613,0.455,0.426,7.1,0.138,1.2,5.9,0.476,11.1,0.265,0.51,2,0,101,0,0,0,0,0,0,0,0,0,Bust,Bust,0
